23.96	24.24	0.0392	0
23.38	23.76	0.0722	0
24.08	23.66	0.0882	0
22.8	23.22	0.0882	0
25.22	24.92	0.045	0
24.4	23.96	0.0968	0
24.14	24.08	0.0018	0
23.38	23.48	0.005	0
23.18	22.7	0.1152	0
23.7	23.72	0.0002	0
24.32	24.02	0.045	0
22.96	22.6	0.0648	0
22.9	22.98	0.0032	0
24	24.34	0.0578	0
23.42	23.44	0.0002	0
23.8	23.58	0.0242	0
24.5	24.4	0.005	0
23.82	23.64	0.0162	0
22.62	22.68	0.018	0
22.7	22.54	0.0128	0
22.34	21.86	0.1152	0
23.04	23.14	0.005	0
22.44	22.56	0.0072	0
21.32	21.54	0.0242	0
21.58	21.42	0.0128	0
22.1	22.28	0.0162	0
22.74	22.66	0.0032	0
22.6	22.54	0.0018	0
21.08	21.04	0.0008	0
20.86	20.6	0.0338	0
24.12	24.4	0.0392	1
25.04	25.86	0.3362	1
22.34	22.66	0.0512	1
24.18	24.36	0.0162	1
23.4	23.68	0.0392	1
23.14	23.14	0	1
23.574	23.96	0.074498	1
21.9	22.68	0.3042	1
26.62	26.24	0.0722	1
21.96	22.66	0.245	1
24.42	24.58	0.0128	1
23.02	22.66	0.0648	1
24.56	24.08	0.1152	1
23.1	23.92	0.3362	1
23.7	24.14	0.0968	1
23.34	23.6	0.0338	1
24.96	25.12	0.0128	1
23.14	22.8	0.0578	1
23.22	23.64	0.0882	1
22.62	22.36	0.0338	1
21.8	21.6	0.02	1
20.44	20.2	0.0288	1
23.04	23.2	0.0128	1
21.52	21.1	0.0882	1
21.68	21.82	0.0098	1
21.9	21.7	0.02	1
21.78	21.96	0.0162	1
20.62	20.66	0.0008	1
21.64	21.42	0.0242	1
21.52	21.36	0.0128	1
22.84	22.7	0.0098	1
22.4	22.48	0.0032	1
22.36	22.7	0.0578	1
21.88	22.06	0.0162	1
